使用者編號,學校代碼,年級,班級,國語成績,數學成績,英語成績,練習次數,練習平均正確率,練習總秒數,影片瀏覽次數,影片觀看總秒數,影片平均完成率,倒轉次數,快轉次數,筆記次數,暫停次數,單字遊戲次數,數學遊戲次數,測驗作答次數,測驗總秒數,綜合平臺活動數,總活動量,參與度分組
13020,1377,5,2,80.0,92.0,100.0,16,68.8,200,22,3315,61.2,14,2,0,103,0,0,445,12935,41,524,Q4 高
13053,1377,5,2,88.0,60.0,68.0,53,69.8,997,44,8968,74.0,5,0,0,137,0,0,251,6936,0,348,Q3 中高
194425,2284,4,1,,84.0,,29,63.8,649,1,228,100.0,0,0,0,5,0,0,0,0,164,194,Q2 中低
75066,2284,6,1,72.0,40.0,48.0,56,67.0,1735,5,472,80.0,1,0,0,10,20,0,70,3950,41,192,Q2 中低
14737,1377,5,2,100.0,92.0,92.0,31,80.6,711,19,3261,76.5,6,0,0,1997,0,0,656,22342,0,706,Q4 高
170744,1377,6,1,80.0,68.0,92.0,11,95.5,273,29,4856,50.0,47,6,0,135,0,0,522,20183,0,562,Q4 高
88959,2284,2,2,92.0,100.0,,38,57.9,2193,15,4632,78.9,1,1,0,32,0,0,0,0,0,53,Q1 低
70178,2284,4,2,56.0,,62.0,28,62.5,10428,8,2886,62.5,4,0,0,44,0,0,0,0,378,414,Q3 中高
216161,2284,6,1,,84.0,,27,85.2,7403,0,0,,0,0,0,0,0,0,60,1245,73,160,Q2 中低
170372,1377,6,1,88.0,92.0,88.0,12,75.0,327,19,3595,66.5,12,7,0,154,0,0,325,7507,0,356,Q3 中高
39073,1377,5,1,100.0,92.0,100.0,121,88.8,2568,55,11277,68.5,5,10,0,3336,1240,907,452,20689,0,2775,Q4 高
93701,2284,2,2,76.0,88.0,,64,49.2,1155,12,1662,59.8,6,0,0,27,0,0,0,0,0,76,Q1 低
13295,1377,5,2,96.0,88.0,96.0,43,69.8,800,27,5864,75.5,15,9,0,96,0,0,593,31786,0,663,Q4 高
51593,1377,4,3,100.0,96.0,64.0,33,71.2,1583,21,5063,92.0,1,0,0,33,0,0,0,0,0,54,Q1 低
76422,2284,6,2,92.0,72.0,84.0,0,,0,0,0,,0,0,0,0,0,0,0,0,23,23,Q1 低
93893,2284,2,1,,84.0,,24,77.1,986,24,6342,77.8,3,4,0,24,0,0,0,0,0,48,Q1 低
127846,2284,4,4,72.0,68.0,72.0,0,,0,0,0,,0,0,0,0,0,0,0,0,236,236,Q2 中低
94078,2284,2,1,86.0,76.0,,34,66.2,1384,22,6457,94.5,2,1,0,53,0,0,0,0,0,56,Q1 低
228998,2284,3,2,,64.0,,3,50.0,66,10,1801,44.2,3,0,0,38,0,0,0,0,305,318,Q3 中高
178344,2284,5,4,,,88.0,26,90.4,1107,4,1485,100.0,0,1,0,3,0,0,0,0,450,480,Q4 高
184411,2284,4,1,,,90.0,13,88.5,480,1,228,100.0,0,0,0,2,0,0,0,0,296,310,Q3 中高
75855,2284,5,2,,32.0,52.0,27,74.1,2028,13,3965,76.7,0,1,0,29,0,0,0,0,150,190,Q2 中低
167466,2284,5,2,,,72.0,19,94.7,1418,5,2385,100.0,14,3,0,186,0,0,0,0,444,468,Q4 高
113961,1377,5,3,84.0,44.0,72.0,70,67.9,1846,60,11356,79.9,16,0,0,195,0,0,701,26272,0,831,Q4 高
184828,1377,6,1,88.0,80.0,96.0,25,68.0,663,41,9261,76.5,34,22,0,219,0,0,105,11702,0,171,Q2 中低
93845,2284,2,1,,92.0,,23,63.0,1455,18,6531,91.0,8,0,0,20,0,0,0,0,0,41,Q1 低
170382,1377,6,1,84.0,72.0,84.0,11,86.4,291,31,7440,78.3,11,1,0,161,0,0,369,9779,0,411,Q3 中高
13877,1377,5,2,92.0,76.0,88.0,9,72.2,135,14,2906,74.2,5,0,0,984,0,0,456,11994,0,479,Q4 高
184349,2284,4,4,,,100.0,0,,0,0,0,,0,0,0,0,0,0,0,0,36,36,Q1 低
240896,1377,6,2,100.0,88.0,80.0,3,83.3,48,20,3136,56.1,20,0,0,484,0,0,0,0,19,42,Q1 低
27279,1377,5,1,96.0,92.0,92.0,7,85.7,94,22,4826,75.2,1,1,0,45,0,0,0,0,11,40,Q1 低
215864,2284,6,1,,80.0,,41,78.0,1737,1,1,0.0,0,0,0,1,40,0,340,6985,717,1139,Q4 高
178455,2284,5,2,,,76.0,33,74.2,2697,10,3165,80.7,0,0,0,26,0,35,0,0,246,324,Q3 中高
229501,2284,3,2,42.0,40.0,,10,35.0,337,7,2225,95.0,0,1,0,3,0,0,0,0,238,255,Q2 中低
230630,1377,6,2,88.0,52.0,92.0,35,71.4,877,58,13566,79.0,68,42,0,461,0,0,89,1135,0,182,Q2 中低
180923,2284,2,2,86.0,,,26,50.0,1912,23,6983,85.8,5,2,0,56,0,0,0,0,0,49,Q1 低
229499,2284,3,2,,100.0,,1,100.0,13,0,0,,0,0,0,0,0,0,0,0,405,406,Q3 中高
76576,1377,3,3,72.0,72.0,,17,55.9,1023,20,3389,65.4,0,0,0,105,0,0,0,0,21,58,Q1 低
121277,2284,6,3,,84.0,,0,,0,0,0,,0,0,0,0,0,0,55,1455,209,264,Q3 中高
73123,1377,6,1,76.0,56.0,88.0,18,88.9,228,22,3868,53.9,8,1,0,141,0,0,305,10174,0,345,Q3 中高
